['Magic', 'CleanLab', 0.3, 'Sym', 300, 0]	52	41	169	38	0.22759532928466797	0.5591397849462365	0.5777777777777777	0.5683060109289617	300
['Magic', 'CleanLab', 0.1, 'Asym', 300, 0]	21	43	227	9	0.23888731002807617	0.328125	0.7	0.44680851063829785	300
['Magic', 'CleanLab', 0.3, 'Asym', 10000, 0]	1973	1020	5980	1027	0.771080732345581	0.6592048112261945	0.6576666666666666	0.658434840647422	10000
['Magic', 'CleanLab', 0.4, 'Sym', 500, 0]	128	92	208	72	0.22494983673095703	0.5818181818181818	0.64	0.6095238095238096	500
['Magic', 'CleanLab', 0.5, 'Sym', 500, 0]	156	106	144	94	0.23174357414245605	0.5954198473282443	0.624	0.609375	500
['Magic', 'CleanLab', 0.5, 'Asym', 300, 0]	85	29	121	65	0.17814159393310547	0.7456140350877193	0.5666666666666667	0.6439393939393938	300
['Magic', 'CleanLab', 0.7, 'Sym', 100, 0]	33	22	8	37	0.14494609832763672	0.6	0.4714285714285714	0.528	100
['Magic', 'CleanLab', 0.1, 'Asym', 5000, 0]	306	665	3835	194	0.5659389495849609	0.31513903192584963	0.612	0.41604350781781096	5000
['Magic', 'CleanLab', 0.6, 'Asym', 300, 0]	92	50	70	88	0.19241690635681152	0.647887323943662	0.5111111111111111	0.5714285714285714	300
['Magic', 'CleanLab', 0.6, 'Sym', 1000, 0]	143	235	165	457	0.31525683403015137	0.3783068783068783	0.23833333333333334	0.29243353783231085	1000
['Magic', 'CleanLab', 0.5, 'Asym', 10000, 0]	3235	788	4212	1765	0.7138662338256836	0.8041262739249316	0.647	0.7170564113931066	10000
['Magic', 'CleanLab', 0.2, 'Sym', 10000, 0]	1453	1280	6720	547	1.0808830261230469	0.5316502012440542	0.7265	0.6139869004859497	10000
['Magic', 'CleanLab', 0.1, 'Sym', 100, 0]	8	18	72	2	0.18693995475769043	0.3076923076923077	0.8	0.4444444444444444	100
['Magic', 'CleanLab', 0.4, 'Asym', 1000, 0]	263	103	497	137	0.2314162254333496	0.7185792349726776	0.6575	0.6866840731070496	1000
['Magic', 'CleanLab', 0.1, 'Asym', 10000, 0]	655	1359	7641	345	0.8526794910430908	0.32522343594836145	0.655	0.43463835434638354	10000
['Magic', 'CleanLab', 0.7, 'Asym', 300, 0]	58	40	50	152	0.21624088287353516	0.5918367346938775	0.2761904761904762	0.37662337662337664	300
['Magic', 'CleanLab', 0.5, 'Sym', 100, 0]	22	24	26	28	0.2535429000854492	0.4782608695652174	0.44	0.4583333333333333	100
['Magic', 'CleanLab', 0.2, 'Asym', 300, 0]	40	41	199	20	0.36551785469055176	0.49382716049382713	0.6666666666666666	0.5673758865248227	300
['Magic', 'CleanLab', 0.05, 'Sym', 100, 0]	4	26	69	1	0.2198946475982666	0.13333333333333333	0.8	0.2285714285714286	100
['Magic', 'CleanLab', 0.2, 'Sym', 100, 0]	17	13	67	3	0.2606925964355469	0.5666666666666667	0.85	0.68	100
['Magic', 'CleanLab', 0.6, 'Sym', 300, 0]	39	72	48	141	0.19785714149475098	0.35135135135135137	0.21666666666666667	0.26804123711340205	300
['Magic', 'CleanLab', 0.2, 'Sym', 300, 0]	45	34	206	15	0.22102856636047363	0.569620253164557	0.75	0.6474820143884893	300
['Magic', 'CleanLab', 0.4, 'Asym', 300, 0]	73	48	132	47	0.33751988410949707	0.6033057851239669	0.6083333333333333	0.6058091286307054	300
['Magic', 'CleanLab', 0.5, 'Asym', 500, 0]	142	48	202	108	0.22823739051818848	0.7473684210526316	0.568	0.6454545454545455	500
['Magic', 'CleanLab', 0.7, 'Sym', 300, 0]	69	63	27	141	0.24824810028076172	0.5227272727272727	0.32857142857142857	0.4035087719298246	300
['Magic', 'CleanLab', 0.05, 'Sym', 300, 0]	9	52	233	6	0.36249566078186035	0.14754098360655737	0.6	0.23684210526315788	300
['Magic', 'CleanLab', 0.1, 'Asym', 100, 0]	6	13	77	4	0.25042152404785156	0.3157894736842105	0.6	0.41379310344827586	100
['Magic', 'CleanLab', 0.7, 'Asym', 500, 0]	112	93	57	238	0.16753172874450684	0.5463414634146342	0.32	0.4036036036036036	500
['Magic', 'CleanLab', 0.4, 'Sym', 300, 0]	70	35	145	50	0.24935269355773926	0.6666666666666666	0.5833333333333334	0.6222222222222222	300
['Magic', 'CleanLab', 0.4, 'Asym', 100, 0]	27	12	48	13	0.26340317726135254	0.6923076923076923	0.675	0.6835443037974683	100
['Magic', 'CleanLab', 0.5, 'Sym', 1000, 0]	186	194	306	314	0.15604376792907715	0.48947368421052634	0.372	0.4227272727272727	1000
['Magic', 'CleanLab', 0.3, 'Sym', 10000, 0]	2192	1141	5859	808	1.0329761505126953	0.6576657665766577	0.7306666666666667	0.6922469603663349	10000
['Magic', 'CleanLab', 0.6, 'Sym', 10000, 0]	958	2703	1297	5042	0.8208644390106201	0.2616771373941546	0.15966666666666668	0.19832315495290342	10000
